question,answer1,answer2,spread,rewards_daily_rate,gm_reward_per_100,sm_reward_per_100,bid_reward_per_100,ask_reward_per_100,volatility_sum,volatilty/reward,min_size,1_hour,3_hour,6_hour,12_hour,24_hour,7_day,30_day,best_bid,best_ask,volatility_price,max_spread,tick_size,neg_risk,market_slug,token1,token2,condition_id
Will global temperature increase by between 1.20ºC and 1.24ºC in November 2025?,Yes,No,0.05,50,17.06,17.07,17.21,16.92,180.81,0.09,20,82.97,63.45,46.03,50.06,60.27,60.27,60.27,0.55,0.6,0.57,4.5,0.01,TRUE,will-global-temperature-increase-by-between-1pt20c-and-1pt24c-in-november-2025,62826862973122968757927160401652628691812680645835879869350471837598835639293,13328695733324760066479033944730015632623434355966244344842979593816367684071,0x1b5d769970214c80e8db5e42f3dac06dafe4db74ac0ea34d529b4a910bfee8aa
Over $800M committed to the Monad public sale?,Yes,No,0.02,100,16.43,16.43,16.59,16.27,120.49,0.14,100,45.95,33.25,25.12,22.12,41.79,39.35,39.35,0.1,0.12,0.11,3.5,0.01,FALSE,over-800m-committed-to-the-monad-public-sale-165-266-129,85365969143042890318502353153697282149768615210717124093728494609516455662574,35948589383601976941106358209855585000018744635260575734815506920637586592914,0x335e09b4c0f8d6ef193eb0488c565445cc41770558b814573be44b29aa039659
Tim Cook out as Apple CEO before 2027?,Yes,No,0.12,30,15,15,15,15,167.31,0.09,20,14.5,9.08,6.77,5.65,55.77,55.77,55.77,0.74,0.86,0.8,4.5,0.01,FALSE,tim-cook-out-as-apple-ceo-before-2027,61206972151251876144604293020080604222328714471900617903057651992345445705297,93668226216131104283354032163235291342189362223075298572611739609833832082351,0xd49520181f4743ddba6c9883345b5d85f9e2054b99d580bc357908947ba904e3
Will the Monad public sale commitments be less than $400M?,Yes,No,0.02,100,14.48,16.1,23.13,9.07,204.34,0.07,100,16.37,25.81,20.6,30.5,28.82,87.76,87.76,0.3,0.32,0.31,4.5,0.01,TRUE,will-the-monad-public-sale-commitments-be-less-than-400m,23993869747866539151841192691082500852348935129903309548116439801755631494036,63962845047053395182081657185658943693914130085603651953363591112936950578816,0xd998bcf4a4a9e4f992dc63c6d01f0748f5c0394d6c434e29b72b667b17fe8609
Will Trump establish a Gaza “Board of Peace” in 2025?,Yes,No,0.02,59,14.42,14.42,14.57,14.28,92.06,0.16,100,29.21,18.7,24.11,28.47,51.92,22.67,15.37,0.51,0.53,0.52,4.5,0.01,FALSE,will-trump-establish-a-gaza-board-of-peace-in-2025,43921528416127747755995678186007852634317246079481323514186378885265571609009,32915172045130582917964947903812851358453405101351914444477985913955849289820,0x1d039941b393f61a08567d37ef2e45bc3e7b19984d186c5e7ab4e06243c3ad9d
Will global temperature increase by between 1.10ºC and 1.14ºC in November 2025?,Yes,No,0.03,50,13.82,13.88,12.59,15.17,237.27,0.06,20,61.63,104.62,76.36,76.4,79.09,79.09,79.09,0.06,0.09,0.08,4.5,0.01,TRUE,will-global-temperature-increase-by-between-1pt10c-and-1pt14c-in-november-2025,27584430328900010372886709591953759887673226500050569176286150023913227993932,110221978385640367223293957808993861072467732114796273783796736202847240526992,0x82a676ab03759042ba8e01d1ce849f7a4e217c0ac32493be4832847f19bde5ea
Will global temperature increase by less than 1.10ºC in November 2025?,Yes,No,0.02,50,12.17,12.23,11.04,13.42,327.42,0.04,20,0,48.94,39.66,105.85,109.14,109.14,109.14,0.05,0.07,0.06,4.5,0.01,TRUE,will-global-temperature-increase-by-less-than-1pt10c-in-november-2025,44516771136280581886043156595717039833673826047820797570886374832028936754807,79120113387300035031272150847863182738500128089621343010402951255252393037097,0xdc13b163f8e8e0674fa4dd6de3ec496a4058b1bdd7e154caf6afed9946cbcf4e
Will Crystal Hudson be the next Speaker of the New York City Council?,Yes,No,0.06,30,11.37,11.38,11.3,11.45,194.34,0.06,20,16.97,18.24,17.17,12.99,23.42,85.46,85.46,0.26,0.32,0.29,4.5,0.01,TRUE,will-crystal-hudson-be-the-next-speaker-of-the-new-york-city-council,50300823041026940527813481355840659485286082605892364424899560141533640162971,39905222804949702100964172694929588483848865477366288466746015475290759878477,0x0d46731123f53614ebd037800896e918c99b1830bb69abca3ccadb288c59f3e5
Will Trump sign the Epstein Disclosure Bill on November 21?,Yes,No,0.004,300,11.37,11.66,9.08,14.23,552.48,0.02,200,131.06,87.68,80.63,184.81,184.16,184.16,184.16,0.058,0.062,0.06,4.5,0.001,TRUE,will-trump-sign-the-epstein-disclosure-bill-on-november-21,30272538049445048171430549942670561541744529626772651389312030494296986928702,87811706314068842776549879613705356031556619945648509184121988907781406181417,0xccb6911ed30782af471547b7856219bc932661daa436b57564c8d37953f07d17
Will Julie Menin be the next Speaker of the New York City Council?,Yes,No,0.06,30,11.28,11.3,10.62,11.98,72.57,0.16,20,11.85,9.73,7.41,19.81,33.61,19.48,19.48,0.38,0.44,0.41,4.5,0.01,TRUE,will-julie-menin-be-the-next-speaker-of-the-new-york-city-council,11378449533531481791858330056808128394969828976972951184192088002917714258914,17406756413183046098342016925119803439484380921468090152130805848434881304792,0x358dd46994a1d049bc2674a17df9cb9848ee0b3c1cf18318b8679f7a4197ac76
Will the UK designate the IRGC a terrorist organization by June 30?,Yes,No,0.03,40,11.09,11.1,10.55,11.66,155.4,0.07,20,0,49.03,54.93,48.23,51.8,51.8,51.8,0.27,0.3,0.28,4.5,0.01,FALSE,will-the-uk-designate-the-irgc-a-terrorist-organization-by-june-30,87726306233867174895916877369821121775472954680372928690435002065237468144594,108259029989756390071753019240339637279033020549311423369246569675248825915713,0x47dae10c137aed5c59e42319fabd1501733b45208b724129620b614222cb3c9e
Will Pacifica launch a token by December 31 2026?,Yes,No,0.43,20,10,10,10,10,82.35,0.12,50,0,0,0,27.64,27.45,27.45,27.45,0.52,0.95,0.74,3.5,0.01,FALSE,will-pacifica-launch-a-token-by-december-31-2026,95507998114495493516816946995186381459113773422689002696015154448950350469528,98123455581367166483055069811830792105652809440632486143800605837569833413907,0xead60faf2caee5be3f9ea46131cea93339c4d5802eda85226d0296e0d7231f8a
Over $15M committed to the VOOI public sale?,Yes,No,0.17,20,10,10,10,10,91.5,0.11,50,7.82,5.53,22.24,37.34,30.5,30.5,30.5,0.68,0.85,0.76,3.5,0.01,FALSE,over-15m-committed-to-the-vooi-public-sale,103686383514200996331530713425279113160683671785363023610654749515039677185773,64382567375447790191039210362263218874584760198201393809500326666623349112396,0x6c67bafbf10db5cfff20e064328ce8f896ddc18f55776330bd0c4cfca7f7e891
Hyperbeat FDV above $400M one day after launch?,Yes,No,0.3,20,10,10,10,10,123.6,0.08,50,30.6,19.03,18.43,43.45,41.2,41.2,41.2,0.06,0.36,0.21,3.5,0.01,FALSE,hyperbeat-fdv-above-400m-one-day-after-launch,103684453972705941469792804949063651735729099530727127928334326095782955282758,17060379454693307636273245675050369999735336162590692975565106841695600711193,0x1a6e601265f63d99ca0486ee6c4fa07294f6ae34974ceda23453fde5cf7fb334
Will Infrared launch a token by March 31 2026?,Yes,No,0.55,20,10,10,10,10,51.9,0.19,50,0,0,8.74,17.65,17.3,17.3,17.3,0.31,0.86,0.66,3.5,0.01,FALSE,will-infrared-launch-a-token-by-march-31-2026,36042209870861279290695057949704566700269298796904648498156682104570879814928,1895805962737473162248760351894445744192635309848668084354293722989637540339,0xee347e03225dd3de8c20435db8a7f1de946dc1001e01ca2433c40405e9b5b8e7
Rocket Lab (RKLB) Up or Down on November 19?,Up,Down,0.24,20,10,10,10,10,107.01,0.09,50,23.12,99.5,70.99,50.22,35.67,35.67,35.67,0.47,0.71,0.59,3.5,0.01,FALSE,rklb-up-or-down-on-november-19-2025,81394982422714748253449602913254988213469925050598730694256660586792632612959,91826698684702482405319064934863002988682924388986620186878290571571539334538,0x98af19fc6e4493f553a3df024795fd04fca2ff1d1140e6060f560afc3f79e5a8
Will Infrared launch a token by December 31 2026?,Yes,No,0.65,20,10,10,10,10,15.51,0.64,50,0,6.08,5.4,5.27,5.17,5.17,5.17,0.25,0.9,0.57,3.5,0.01,FALSE,will-infrared-launch-a-token-by-december-31-2026,98510210317510658592567508424772704357893805348181826398143652197934973786471,8888432334678117753156057410488752892309484217325817814069453292369476675078,0x1d6886a554874ec350682f3ef968d8776942ad5bf37b5f0d53c12498a68c6926
Ranger FDV above $30M one day after launch?,Yes,No,0.71,20,10,10,10,10,16.26,0.62,50,5.76,4.38,5.74,5.49,5.42,5.42,5.42,0.15,0.86,0.5,3.5,0.01,FALSE,ranger-fdv-above-30m-one-day-after-launch,70775810552688403539056030064328753707542651818571270274848999164624669623126,22030728982785804603124006216456917031688283306757891406679430179158647703558,0x32c8b5338ceee5c4b600c2de3764856678a05cbbd60341b55f854dc11d7be2c6
Apple (AAPL) Up or Down on November 19?,Up,Down,0.24,20,10,10,10,10,55.41,0.18,50,32.37,30.23,35.92,25.56,18.47,18.47,18.47,0.25,0.49,0.37,3.5,0.01,FALSE,aapl-up-or-down-on-november-19-2025,105459103552119855836902341635311595666641631413853827732551666730153237980442,64851722487793572864376387485025419760726741188561778951953482311690496879483,0xa47a06e8173880f31ba57a138c047c264032414838062bd0ad5f065d9a9e5c2a
Zama FDV above $800M one day after launch?,Yes,No,0.36,20,10,10,10,10,88.62,0.11,50,4.55,4.46,24.43,29.71,29.54,29.54,29.54,0.59,0.95,0.77,3.5,0.01,FALSE,zama-fdv-above-800m-one-day-after-launch,2659288302778884775583386746535092263528056520423604095785916753099728120830,96225285447432969986759827530021182046460837315673727201200641251346154346022,0x2fd789c9f452583fb9d6308eafe323a4f1b4572582f18c9c63f1c51183e3a5b8
Will Pacifica launch a token by June 30 2026?,Yes,No,0.75,20,10,10,10,10,21.33,0.47,50,0,4.32,7.79,7.15,7.11,7.11,7.11,0.09,0.84,0.46,3.5,0.01,FALSE,will-pacifica-launch-a-token-by-june-30-2026,98010018345696546604957913995556145896257115793874545923808120527428354368163,51113611028431322476184498807542426866330964241065131183412961987766611456778,0x4bc637bd708d1116fe54caff1734d3df2675945dc8bc69b040cda3f18e2abf12
Hyperbeat FDV above $200M one day after launch?,Yes,No,0.61,20,10,10,10,10,24.09,0.42,50,0,6.74,4.83,8.51,8.03,8.03,8.03,0.11,0.72,0.42,3.5,0.01,FALSE,hyperbeat-fdv-above-200m-one-day-after-launch,12147714868577836886827219552791323325997760841002341170284163045474593490040,78581171453741201371610953470745267118371157375797609818506985025684718447713,0x1a854b44aa73083bcd2c84823dd113a845c4072c6f19f3de32a43e866783cd3f
FTSE 100 (UKX) Up or Down on November 19?,Up,Down,0.73,20,10,10,10,10,88.02,0.11,50,0,0,17.42,29.67,29.34,29.34,29.34,0.26,0.99,0.62,3.5,0.01,FALSE,ukx-up-or-down-on-november-19-2025,88059090794543383850728892740709031191512101662472519001501752449579065134329,85383206327210808507403936295908856867127417015679804203833281827701676698571,0xad5571a12b05471f2a6d94bce9da3f156360fb05ddcd7eec6183fc34c403b525
Will Pacifica launch a token by September 30 2026?,Yes,No,0.4,20,10,10,10,10,108.63,0.09,50,0,2.81,2.41,36.46,36.21,36.21,36.21,0.52,0.92,0.72,3.5,0.01,FALSE,will-pacifica-launch-a-token-by-september-30-2026,105570749770869498038985176549055158253497019830057866327839773443224333189928,111404043034866160102833603298364407295788321749934522810173461565013981542706,0x51c5e348aef1652d6ad226364563b281f441c516dbc851ebfca20ed74f7e590d
Will Extended launch a token by September 30 2026?,Yes,No,0.18,20,10,10,10,10,99.75,0.1,50,0,0,19.88,15.65,33.25,33.25,33.25,0.76,0.94,0.85,3.5,0.01,FALSE,will-extended-launch-a-token-by-september-30-2026,79735457862859080351002766294093556714485201637023905402374487672949153842998,45971850167312190982666825557066253718070112457952972894728474061182091990171,0x4204709db9aa84a9f39649954ef58d35065fd3ba21f16c0c75fdc1b601ea03f0
Will Infrared launch a token by September 30 2026?,Yes,No,0.74,20,10,10,10,10,97.47,0.1,50,4.26,4.58,4.22,33.16,32.49,32.49,32.49,0.16,0.9,0.53,3.5,0.01,FALSE,will-infrared-launch-a-token-by-september-30-2026,27111810267148592662106396228510335478523690443594691720601622616846904721607,55926161480603577958308832651598268242121021762042163519870136121266341068046,0xbbaaea7dd6962aa7baf0ffd2fbce081206e0a4f125513b7bb26317f9aac6c995
Dow Jones (DJI) Up or Down on November 19?,Up,Down,0.24,20,10,10,10,10,103.08,0.1,50,16.37,30.38,21.59,36.31,34.36,34.36,34.36,0.45,0.69,0.57,3.5,0.01,FALSE,dji-up-or-down-on-november-19-2025,3848785289430156896628755458222508295766690396841436001334703161945608789621,89686431634612310625738435912985758138082761492419946553818960586542811374326,0x0a9d90b0f70b8006b7d96e588c3ed526b8d997f0649f2e31628cdc088cee0ccf
MicroStrategy announces >1000 BTC purchase November 18-24?,Yes,No,0.13,20,10,10,10,10,94.05,0.11,50,0,11.34,14.22,33.79,26.25,33.9,33.9,0.15,0.28,0.22,3.5,0.01,FALSE,microstrategy-announces-1000-btc-purchase-november-18-24-541,23486256919853437083050860239804560127405437614258488877613899568223271331218,60906298593772299614828056567590465486431661710793720563527984477434554200993,0xbdfeff3964c978cc91c5b280cbe56187a7b1360a01a2659d45f6ad70735030ab
Will Infrared launch a token by December 31 2025?,Yes,No,0.49,20,10,10,10,10,122.97,0.08,50,103.74,62.58,50.95,41.83,40.99,40.99,40.99,0.09,0.58,0.34,3.5,0.01,FALSE,will-infrared-launch-a-token-by-december-31-2025,94738502014613056697777737732352371755438920935065882362223423115646142854399,74149307216858021865999496616658910067321913672757236072864914812145954477842,0x3a72386f277b9fd632bc35e451fcdae2b3704e4ecb58868517d73ff0253bf9ad
Ranger FDV above $15M one day after launch?,Yes,No,0.56,20,10,10,10,10,66.66,0.15,50,0,2.84,30.94,22.5,22.22,22.22,22.22,0.4,0.96,0.68,3.5,0.01,FALSE,ranger-fdv-above-15m-one-day-after-launch,90513788037599813106054080596280596696630725174492242254135037561528620419921,66122800131053367009580004764821574592137863848813750554319261721613414379679,0xe68678b9f4e8b96b24ac1f33b820dad5f444b29e447856c6f5bd80361a75fd74
Harmonix FDV above $100M one day after launch?,Yes,No,0.64,20,10,10,10,10,39.54,0.25,50,5.76,5.08,7.28,13.51,13.18,13.18,13.18,0.08,0.72,0.4,3.5,0.01,FALSE,harmonix-fdv-above-100m-one-day-after-launch,4051336992685351757340629855612310296761745025349138314476966033910887433640,20317945204533554686978723087998512468925841696857197809826191784797914919415,0x235a75375392a790e6dc1078f5b44d7cef637496fdf5ddad5851b7a94b769380
Google (GOOGL) Up or Down on November 19?,Up,Down,0.4,20,10,10,10,10,72.75,0.14,50,51.5,52.71,37.28,26.36,24.25,24.25,24.25,0.5,0.9,0.7,3.5,0.01,FALSE,googl-up-or-down-on-november-19-2025,68197710601370644297313945968061599715728244093192037820120406940672003809504,35010041002165544353957051464652100823744613957547961654060133609554057992626,0x796b4d28851e14cd02919a9324b4bb8c6ca75834817ba435ea67d8887e4a96c1
Zama FDV above $1B one day after launch?,Yes,No,0.55,20,10,10,10,10,33.99,0.29,50,0,0,1.45,9.44,11.33,11.33,11.33,0.4,0.95,0.68,3.5,0.01,FALSE,zama-fdv-above-1b-one-day-after-launch,72714409290459033205669551976861557353797561756637439305442648092200172881742,35494275640002850044461728094091400204898012703877940524710196654433425706139,0x38ce926c058413cee5b5c1b4d968f23cc2110a0cde006aa0148f0f137f68b861
Will Leonardo DiCaprio be named in newly released Epstein files?,Yes,No,0.33,20,10,10,10,10,231.27,0.04,20,91.13,144.12,102.29,72.63,77.09,77.09,77.09,0.2,0.53,0.36,5.5,0.01,FALSE,will-leonardo-dicaprio-be-named-in-newly-released-epstein-files-wtpt,71407034371952422122858952195992753658767757403187410244087622754387738866467,14260483080309436848895222272073598568429344995530381643449694951439453185957,0xc4c207c957ffb3f81bee6ea48a1dda0762620b4308d76693b8f7c7750bb9fc0d
USD.AI FDV above $800M one day after launch?,Yes,No,0.39,20,10,10,10,10,81.3,0.12,20,17.75,10.77,18.94,28.19,27.1,27.1,27.1,0.56,0.95,0.74,3.5,0.01,FALSE,usdai-fdv-above-800m-one-day-after-launch,17253815385546417196884457201826697199431664231125105826630778491680896661802,45622600607058740112278984548502887121528993982101382307088385070320943607912,0x0ee36d67a622c17526f661a750ccefb0053677b30c7850b079f837121a10a145
Opendoor (OPEN) Up or Down on November 19?,Up,Down,0.73,20,10,10,10,10,85.5,0.12,50,50.68,44.07,31.17,22.05,28.5,28.5,28.5,0.02,0.75,0.38,3.5,0.01,FALSE,open-up-or-down-on-november-19-2025,21575986278819750334193360544294438118106637623598971063388066259615724204993,75711007374885475996203348638426615163620093233633363017229424612229531093345,0xbe4571e1724d93cffcdff71ca03c97ad1cd92b6f1f7f661d688963f4ee5be31f
Tesla (TSLA) Up or Down on November 19?,Up,Down,0.23,20,10,10,10,10,26.37,0.38,50,16.22,19.52,16.47,11.92,8.79,8.79,8.79,0.56,0.79,0.68,3.5,0.01,FALSE,tsla-up-or-down-on-november-19-2025,52003039197329288060046537342060523258729011127457853337629094783248538955980,10983997309524628674250530119299019791522212878592032093774491617995023248078,0x47bd1a03f696b26567d9b7ce163c997aee051d960d859d9e78d0f01d207f9539
Will Arc launch a token by September 30 2026?,Yes,No,0.41,20,10,10,10,10,78.42,0.13,20,0,0,13.18,26.67,26.14,26.14,26.14,0.54,0.95,0.74,3.5,0.01,FALSE,will-arc-launch-a-token-by-september-30-2026,15373464573264796504651664181431977521307129068468511757109961998999470530471,16033439922413604669899929545449697907602373288485319137951833450126918570060,0xe4fcc10c0ee2b1c0f6fd9bb8acdf8f009d38cfbf5c614a60e94696fa9da6c209
Harmonix FDV above $25M one day after launch?,Yes,No,0.61,20,10,10,10,10,28.17,0.35,50,16.41,12.82,10.74,9.31,9.39,9.39,9.39,0.2,0.81,0.5,3.5,0.01,FALSE,harmonix-fdv-above-25m-one-day-after-launch,66531714619720406374698445513178803815020460012533411425972129389842685538725,17485312160826176989153282976269853921248681952359432814316221887174933495698,0x972827b5a8aa3dc290e131fb8510ecd0ec26496c39347276515190e8a65f8d43
Hyperbeat FDV above $50M one day after launch?,Yes,No,0.29,20,10,10,10,10,77.37,0.13,50,0,0,0,0.93,25.79,25.79,25.79,0.61,0.9,0.76,3.5,0.01,FALSE,hyperbeat-fdv-above-50m-one-day-after-launch,69626151402846862779475550621233927524301107136544704332168040527442555586381,37514705817714965826142039761491919595960159574241425505741903095832077153243,0xf15ebf3fdafd97bc3f2da31a9f6920ec2c2d3a1833289fb4407e63c203f36346
Microsoft (MSFT) Up or Down on November 19?,Up,Down,0.24,20,10,10,10,10,77.34,0.13,50,44.84,38.29,33.1,36.19,25.78,25.78,25.78,0.23,0.47,0.35,3.5,0.01,FALSE,msft-up-or-down-on-november-19-2025,66660754865203798827185611522560904010321030653412878534662181501425759982645,91472308494907495440211017472147684506750274714967711826667215782329004996378,0xd9a3faac9f10c51a22abc0754ec5af43ce41cfeb2a8d55c845e4e3eac1485ece
Will Infrared launch a token by June 30 2026?,Yes,No,0.75,20,10,10,10,10,22.71,0.44,50,4.26,5.24,4.25,7.72,7.57,7.57,7.57,0.16,0.91,0.54,3.5,0.01,FALSE,will-infrared-launch-a-token-by-june-30-2026,104362722494293506134994604767764176242946474898064673082605106105378562887934,77225331316250396849421219786266323172704213104798555723108719836759921246679,0x56d53d66ecd7f027fe59c8958bf308d24f74bcdc5c85a2faefbe3ed40f2684a9
Sentient FDV above $600M one day after launch?,Yes,No,0.21,20,10,10,10,10,161.22,0.06,50,0,3.33,2.69,54.09,53.74,53.74,53.74,0.72,0.93,0.82,3.5,0.01,FALSE,sentient-fdv-above-600m-one-day-after-launch,53771956347426636218969009446177816473587442534794301384367596367373359841637,72035733220353902526516121891831500879814579275779212211971882581678066100322,0x27348e1627b26b6a45c9fbb288ce55a80cda1c593a514891e4945d0d24beb928
Palantir (PLTR) Up or Down on November 19?,Up,Down,0.24,20,10,10,10,10,37.29,0.27,50,23.14,20.26,16.75,16.81,12.43,12.43,12.43,0.53,0.77,0.65,3.5,0.01,FALSE,pltr-up-or-down-on-november-19-2025,81344134348396515887559686150902279955193590389477010375385348279393169783146,70381920201142131177332310315592849284913450346335717971574714063719168883240,0x073fd705201321e99bd0da433b24ce2acae52e85b92c0392c028024189145483
DAX (DAX) Up or Down on November 19?,Up,Down,0.59,20,10,10,10,10,135.66,0.07,50,61.08,37.07,26.57,18.91,45.22,45.22,45.22,0.39,0.98,0.68,3.5,0.01,FALSE,dax-up-or-down-on-november-19-2025,112756368760220966419685858448071145565481582162354866744912457570011180683001,87274013957560375043431894472950107178650100073669945884532357416380872231079,0x137102799a1771dd1dbcaf67fa30baa645ba3893ab992a11ad1b362545d1516c
Harmonix FDV above $50M one day after launch?,Yes,No,0.59,20,10,10,10,10,31.41,0.32,50,0,0,7.34,10.75,10.47,10.47,10.47,0.12,0.71,0.42,3.5,0.01,FALSE,harmonix-fdv-above-50m-one-day-after-launch,1563895978510283933742061278670936643746683233418787004227535816991312016791,84679183196614198153940990293654882016558257791208358647185198496656751502896,0x2c5285a1f16c1964e3bbc427f7ad42f272194b7c252b4b42d16a34f891de91e1
Will David Copperfield be named in newly released Epstein files?,Yes,No,0.66,20,10,10,10,10,272.52,0.04,20,213.13,186.18,131.69,93.33,90.84,90.84,90.84,0.18,0.84,0.51,5.5,0.01,FALSE,will-david-copperfield-be-named-in-newly-released-epstein-files,31014829823333165546272580252010710008922235692978616887664406615566659398495,49717652313783246693660652174712341042721583906022318270961406870186116918173,0x0cc29491658328bd40e2027e03f2d9287af65a5d70f4472a796979b68991a1ff
Aztec FDV above $800M one day after launch?,Yes,No,0.4,20,10,10,10,10,39.27,0.25,50,4.26,2.58,1.85,2.31,13.09,13.09,13.09,0.33,0.73,0.53,3.5,0.01,FALSE,aztec-fdv-above-800m-one-day-after-launch,34829283441491407059963330760394222830323016590938724845277742822038267707118,100993715878665483438108935077865999520306341531841700425193560545653861451175,0x796f36313d1142d739eafc84298b81832a1fa0efd4d332fdc7f03a9a906ff012
Will Google (GOOGL) finish week of November 17 above $285?,Yes,No,0.25,20,10,10,10,10,41.25,0.24,20,0,26.81,19.29,13.77,13.75,13.75,13.75,0.55,0.8,0.68,4.5,0.01,FALSE,googl-above-285-on-november-21-2025,97559548344678556458926939947380705295903998152238238127050695223929248819138,82120967791681031193118519358647120913667493691175607366972757339701532547813,0x9754d5d91fea30a8802c6d9d73317b6e7ff3c0ad3cbf7c4466606b64c9ada265
